Periodo;Juicios iniciados por personas trabajadoras en unidades productivas, notificados en el mes de referencia (1);Juicios iniciados por personas trabajadoras en casas particulares, notificados en el mes de referencia (2);Total de juicios notificados en el mes de referencia (3);Sentencias dictadas en el mes de referencia (4);Stock acumulado de juicios sin resolver (5);;Unidades Productivas ;Sin personas trabajadoras declaradas;1;2;3-may;6-oct;nov-25;26-40;41-50 ;51-100;101-500;501-1500 ;1501-2500;2501-5000 ;Mas de 5000;Sin datos;Total unidades productivas;Total casas particulares;Total sistema;;Unidades Productivas ;C.A.B.A.;Buenos Aires;Catamarca;Córdoba;Corrientes;Entre Ríos;Jujuy;Mendoza;La Rioja;Salta;San Juan;San Luis;Santa Fe;Sgo. del Estero;Tucumán;Chaco;Chubut;Formosa;Misiones;Neuquén;La Pampa;Río Negro;Santa Cruz;Tierra del Fuego;Sin datos;Total unidades productivas;Total casas particulares;Total sistema;;Unidades Productivas ;Berkley ART;Prevención;Provincia;La Segunda;Interacción;Fed. Patronal;Prod. de Frutas;La Holando;Experta ART.;Victoria;La Meridional;MAPFRE;Galeno;Swiss Medical;Inst. Autarq. E.R.;Asociart;Horizonte;Caja Popular;Latitud Sur;Reconquista;Liderar ART;Caminos Protegidos;Omint;Mutual Petroleros;Mutual Rural;Andina ART;Exxonmobil;Shell;Coop. Port. San Martin;Sgo. del Estero;Municip. Rosario;Autoaseg. Pcia. de Buenos Aires;Total unidades productivas**;Total casas particulares;Total sistema;;Unidades productivas ;Agricultura, ganaderia, caza, silvicultura y pesca;Explotacion de minas y canteras;Industria manufacturera;Suministro de electricidad, gas, vapor y aire acondicionado;Suministro de agua, cloacas, gestion de residuos y recuperacion de materiales y saneamiento publico;Construccion;"Comercio al por mayor y al por menor; reparacion de vehiculos automotores y motocicletas";Servicio de transporte y almacenamiento;Servicios de alojamiento y servicios de comida;Informacion y comunicaciones;Intermediacion financiera y servicios de seguros;Servicios inmobiliarios;Servicios profesionales, cientificos y tecnicos;Actividades administrativas y servicios de apoyo;Administracion publica, defensa y seguridad social obligatoria;Enseñanza;Salud humana y servicios sociales;Servicios artisticos, culturales, deportivos y de esparcimiento;Servicios de asociaciones y servicios personales;Servicios de organizaciones y organos extraterritoriales;Sin datos;Total unidades productivas ;Total casas particulares ;Total sistema
jul-12;2770;0;2770;2054;112476;jul-12;;0;40;37;92;121;208;167;78;233;628;419;153;150;272;172;2770;0;2770;jul-12;;1133;477;2;406;8;21;5;98;0;8;7;26;447;5;13;5;23;2;14;35;1;33;0;0;1;2770;0;2770;jul-12;;72;394;255;179;86;97;1;22;415;1;0;0;477;302;9;240;74;0;0;4;118;0;0;0;0;0;0;0;0;0;0;24;2770;0;2770;jul-12;;74;16;884;20;;272;402;332;;;198;;;;546;;;;;;18;2770;0;2770
ago-12;6748;0;6748;2438;116786;ago-12;;0;108;89;224;307;565;374;183;606;1461;970;389;386;569;517;6748;0;6748;ago-12;;2583;1172;2;930;25;35;12;465;2;9;40;27;1127;15;37;12;39;9;44;90;10;57;1;5;0;6748;0;6748;ago-12;;125;1145;490;460;190;229;5;59;991;4;0;0;1231;720;15;602;163;0;2;14;256;1;0;0;0;0;0;0;0;0;0;46;6748;0;6748;ago-12;;200;19;2207;35;;695;844;800;;;517;;;;1362;;;;;;45;6748;0;6748
sep-12;5631;0;5631;2331;120086;sep-12;;0;78;92;218;262;496;391;126;459;1170;775;333;291;507;433;5631;0;5631;sep-12;;1977;894;3;698;37;45;11;602;0;5;18;28;1096;13;30;13;32;6;37;23;2;58;1;2;0;5631;0;5631;sep-12;;120;920;376;427;156;181;10;58;899;2;0;0;977;722;10;456;97;1;1;7;181;1;0;0;0;0;0;0;0;0;0;29;5631;0;5631;sep-12;;184;20;1723;34;;570;762;695;;;430;;;;1147;;;;;;52;5631;0;5631
oct-12;7414;0;7414;2451;125049;oct-12;;0;109;99;276;328;637;429;181;597;1594;1023;517;421;672;531;7414;0;7414;oct-12;;2882;1267;3;969;36;104;14;536;1;16;20;67;1237;14;32;15;68;5;43;9;8;60;5;3;0;7414;0;7414;oct-12;;93;1168;566;551;219;200;5;64;1151;9;0;0;1448;819;11;691;118;2;3;12;229;2;0;0;0;0;0;0;0;0;0;53;7414;0;7414;oct-12;;202;34;2280;48;;838;1043;847;;;581;;;;1469;;;;;;60;7414;0;7414
nov-12;6771;0;6771;2478;129342;nov-12;;0;116;100;221;291;550;408;170;588;1520;983;387;378;608;451;6771;0;6771;nov-12;;2569;1103;1;811;23;52;14;565;1;9;40;33;1286;14;29;10;39;3;52;20;9;87;0;0;1;6771;0;6771;nov-12;;93;1112;501;616;225;200;2;51;995;4;0;0;1454;362;17;705;152;0;2;4;238;2;0;0;0;0;0;0;0;0;0;36;6771;0;6771;nov-12;;221;21;2117;55;;713;803;805;;;525;;;;1435;;;;;;60;6771;0;6771
dic-12;5680;0;5680;2425;132597;dic-12;;0;78;76;158;279;452;336;142;437;1294;816;315;302;583;412;5680;0;5680;dic-12;;2066;1028;1;672;15;52;20;512;2;9;21;40;848;30;43;4;41;3;46;178;2;45;2;0;0;5680;0;5680;dic-12;;116;1109;411;446;151;178;6;41;831;7;0;0;1215;312;16;524;147;4;5;7;149;5;0;0;0;0;0;0;0;0;0;0;5680;0;5680;dic-12;;201;13;1719;32;;582;750;696;;;437;;;;1185;;;;;;41;5680;0;5680
ene-13;184;0;184;987;131794;ene-13;;0;2;1;4;6;10;10;4;15;49;13;6;44;10;10;184;0;184;ene-13;;49;11;0;23;0;1;2;25;0;0;2;4;54;5;0;1;3;0;2;1;0;1;0;0;0;184;0;184;ene-13;;0;7;3;6;9;1;0;1;6;0;0;0;6;116;1;4;9;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;184;0;184;ene-13;;4;1;82;2;;18;23;21;;;5;;;;27;;;;;;1;184;0;184
feb-13;5817;0;5817;1177;136434;feb-13;;0;94;90;198;234;483;329;170;481;1247;795;293;322;616;465;5817;0;5817;feb-13;;2286;894;1;693;24;47;4;455;2;9;30;52;962;29;10;9;37;4;35;178;1;50;4;0;1;5817;0;5817;feb-13;;104;1201;383;534;136;199;9;45;747;3;0;0;1307;370;19;458;120;0;0;6;143;9;0;0;0;0;0;0;0;0;0;24;5817;0;5817;feb-13;;189;23;1727;24;;631;787;675;;;459;;;;1208;;;;;;82;5817;0;5817
mar-13;7404;0;7404;1627;142211;mar-13;;0;106;99;282;309;616;414;190;613;1681;1112;359;423;751;449;7404;0;7404;mar-13;;2762;1217;1;917;36;61;10;615;1;12;20;48;1357;7;22;18;36;0;69;110;9;72;0;4;0;7404;0;7404;mar-13;;93;1849;499;483;168;206;6;52;1040;9;0;0;1493;444;19;604;187;1;1;20;226;4;0;0;0;0;0;0;0;0;0;0;7404;0;7404;mar-13;;212;24;2279;58;;970;935;848;;;574;;;;1452;;;;;;38;7404;0;7404
abr-13;7218;0;7218;1629;147800;abr-13;;0;111;80;247;296;584;353;157;583;1538;1127;326;539;827;450;7218;0;7218;abr-13;;2203;1283;3;809;33;58;16;808;1;10;37;38;1644;15;18;21;43;3;47;48;6;69;4;1;0;7218;0;7218;abr-13;;93;2024;457;704;131;202;6;39;765;3;0;0;1106;815;25;538;133;1;3;9;158;5;0;0;0;0;0;0;0;1;0;0;7218;0;7218;abr-13;;202;23;2228;32;;918;896;784;;;528;;;;1538;;;;;;54;7218;0;7218
may-13;7735;0;7735;2188;153347;may-13;;0;91;106;253;332;625;451;201;597;1692;1130;390;430;934;503;7735;0;7735;may-13;;2749;1344;3;903;23;60;21;810;5;21;31;52;1324;24;18;18;73;4;75;88;6;81;1;1;0;7735;0;7735;may-13;;113;2089;647;600;191;210;6;57;995;6;0;0;1093;591;28;683;170;0;2;18;235;1;0;0;0;0;0;0;0;0;0;0;7735;0;7735;may-13;;235;32;2299;44;;936;968;962;;;516;;;;1693;;;;;;34;7735;0;7735
jun-13;6785;0;6785;1940;158192;jun-13;;0;107;104;220;295;570;377;201;624;1477;881;334;319;818;458;6785;0;6785;jun-13;;2501;965;2;771;22;73;14;895;2;7;26;60;1147;11;21;8;36;0;53;90;4;67;5;4;1;6785;0;6785;jun-13;;85;1709;520;565;170;220;1;56;822;5;0;0;1157;485;17;624;116;2;1;11;217;2;0;0;0;0;0;0;0;0;0;0;6785;0;6785;jun-13;;218;28;1898;31;;747;949;774;;;511;;;;1579;;;;;;37;6785;0;6785
jul-13;5170;0;5170;2154;161208;jul-13;;0;78;68;172;233;407;316;126;404;1193;771;238;281;515;368;5170;0;5170;jul-13;;2008;785;2;562;19;37;18;446;1;15;9;34;963;32;35;16;25;3;40;65;6;44;3;2;0;5170;0;5170;jul-13;;105;1117;362;370;148;131;7;24;460;5;0;0;975;773;4;390;90;0;2;7;198;2;0;0;0;0;0;0;0;0;0;0;5170;0;5170;jul-13;;164;14;1616;22;;595;621;626;;;402;;;;1075;;;;;;25;5170;0;5170
ago-13;7970;0;7970;2374;166804;ago-13;;0;121;118;215;359;613;467;199;715;1804;1091;439;402;939;488;7970;0;7970;ago-13;;3166;1274;3;775;36;68;19;734;0;3;26;45;1458;10;22;9;61;1;45;137;4;68;4;2;0;7970;0;7970;ago-13;;125;1818;696;580;278;244;6;39;707;9;0;0;1557;762;19;695;135;1;1;20;271;7;0;0;0;0;0;0;0;0;0;0;7970;0;7970;ago-13;;242;26;2287;32;;850;1003;1110;;;628;;;;1748;;;;;;29;7970;0;7970
sep-13;8057;0;8057;2345;172516;sep-13;;0;124;99;259;330;637;493;211;701;1841;1069;450;390;878;575;8057;0;8057;sep-13;;3343;1303;4;711;38;83;12;720;4;17;22;45;1390;32;21;12;53;3;49;119;13;59;3;1;0;8057;0;8057;sep-13;;173;1718;606;527;284;249;9;50;931;11;0;0;1666;720;28;679;110;2;1;15;272;6;0;0;0;0;0;0;0;0;0;0;8057;0;8057;sep-13;;261;25;2444;26;;844;998;1021;;;613;;;;1772;;;;;;41;8057;0;8057
oct-13;8481;0;8481;2944;178053;oct-13;;0;124;123;287;412;713;482;218;735;2007;1155;466;379;873;507;8481;0;8481;oct-13;;3572;1402;3;971;21;74;21;774;3;8;35;64;1156;23;45;19;50;8;59;98;4;70;1;0;0;8481;0;8481;oct-13;;110;1693;767;571;242;285;11;39;1132;11;0;0;1825;590;26;757;155;3;5;17;226;16;0;0;0;0;0;0;0;0;0;0;8481;0;8481;oct-13;;295;41;2441;34;;939;1126;1080;;;702;;;;1778;;;;;;37;8481;0;8481
nov-13;7582;0;7582;3764;181871;nov-13;;0;122;112;247;331;629;443;220;675;1717;1054;389;371;799;473;7582;0;7582;nov-13;;3159;1265;3;893;38;90;17;605;1;13;28;49;1042;21;45;14;43;3;54;114;0;79;2;4;0;7582;0;7582;nov-13;;103;1400;825;454;247;237;8;43;1061;5;0;0;1388;806;25;620;119;1;1;12;211;16;0;0;0;0;0;0;0;0;0;0;7582;0;7582;nov-13;;225;34;2195;29;;830;1055;1019;;;624;;;;1527;;;;;;36;7582;0;7582
dic-13;6665;0;6665;3166;185370;dic-13;;0;95;97;214;310;558;416;173;565;1454;923;388;271;836;365;6665;0;6665;dic-13;;2770;1158;2;705;21;64;22;701;4;11;22;28;875;14;29;10;29;2;40;80;2;69;4;3;0;6665;0;6665;dic-13;;64;1143;596;401;191;216;7;36;853;9;0;0;1549;672;17;618;110;0;1;14;164;4;0;0;0;0;0;0;0;0;0;0;6665;0;6665;dic-13;;226;23;1871;33;;697;891;803;;;589;;;;1492;;;;;;30;6665;0;6665
ene-14;105;0;105;1122;184353;ene-14;;0;2;5;3;3;4;4;1;10;33;18;4;7;7;4;105;0;105;ene-14;;20;9;0;13;1;2;6;8;0;0;0;10;30;1;0;0;2;0;2;0;0;1;0;0;0;105;0;105;ene-14;;0;11;2;2;10;2;1;0;2;0;0;0;11;54;1;3;4;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;105;0;105;ene-14;;1;0;32;0;;13;19;17;;;6;;;;16;;;;;;0;105;0;105
feb-14;7760;0;7760;2452;189661;feb-14;;0;143;109;263;303;671;478;218;657;1705;1094;392;391;854;482;7760;0;7760;feb-14;;3595;1072;2;957;27;67;25;634;0;10;20;32;1064;7;19;11;29;3;39;75;2;67;1;2;0;7760;0;7760;feb-14;;98;1337;743;492;267;237;14;35;1037;3;0;0;1728;582;14;771;133;2;9;20;221;17;0;0;0;0;0;0;0;0;0;0;7760;0;7760;feb-14;;256;30;2352;54;;715;1033;1027;;;622;;;;1609;;;;;;49;7760;0;7760
mar-14;7651;2;7653;2808;194506;mar-14;;0;124;109;261;335;666;436;213;626;1696;1069;472;361;838;445;7651;2;7653;mar-14;;3163;1182;3;849;32;95;19;617;4;7;24;28;1292;31;43;5;23;3;48;89;3;86;2;3;0;7651;2;7653;mar-14;;74;1438;831;530;265;225;5;34;1005;6;0;0;1507;699;15;688;88;4;1;18;214;4;0;0;0;0;0;0;0;0;0;0;7651;2;7653;mar-14;;241;28;2310;50;;768;995;1014;;;594;;;;1610;;;;;;36;7651;2;7653
abr-14;7296;0;7296;3294;198508;abr-14;;0;118;114;254;346;607;453;199;656;1641;1024;398;294;809;383;7296;0;7296;abr-14;;3067;1186;4;830;32;75;19;516;2;13;26;31;1176;22;26;10;36;3;42;80;2;93;2;3;0;7296;0;7296;abr-14;;84;1257;737;448;255;231;9;41;1033;13;0;0;1446;757;23;634;94;2;4;19;190;19;0;0;0;0;0;0;0;0;0;0;7296;0;7296;abr-14;;225;30;2212;29;;739;959;959;;;592;;;;1521;;;;;;23;7296;0;7296
may-14;7661;0;7661;3873;202296;may-14;;0;125;129;257;360;651;427;185;729;1717;1102;425;370;816;368;7661;0;7661;may-14;;3344;1132;0;1028;28;91;33;383;2;8;40;36;1188;11;25;14;43;6;49;101;4;91;2;2;0;7661;0;7661;may-14;;102;1156;971;487;271;290;21;23;994;9;0;0;1473;761;21;711;103;1;6;25;215;20;1;0;0;0;0;0;0;0;0;0;7661;0;7661;may-14;;220;33;2282;45;;743;1080;978;;;646;;;;1607;;;;;;24;7661;0;7661
jun-14;7155;1;7156;4269;205183;jun-14;;0;121;111;243;323;615;395;193;708;1587;942;428;352;730;407;7155;1;7156;jun-14;;2683;1427;3;788;26;78;12;468;1;10;31;49;1210;28;25;14;31;2;55;105;4;98;2;5;0;7155;1;7156;jun-14;;87;1177;790;509;206;244;11;27;1009;8;0;0;1366;706;21;709;96;5;1;17;143;21;1;0;0;0;0;0;0;1;0;0;7155;1;7156;jun-14;;237;15;2110;49;;802;949;945;;;544;;;;1469;;;;;;26;7155;1;7156
jul-14;5009;0;5009;3390;206802;jul-14;;0;81;75;176;216;428;269;135;427;1147;738;277;283;486;271;5009;0;5009;jul-14;;2122;915;2;613;20;51;12;292;1;8;13;32;705;13;31;5;17;0;33;61;6;54;2;1;0;5009;0;5009;jul-14;;56;792;636;313;190;150;14;19;724;7;0;0;944;476;11;436;55;4;1;14;144;23;0;0;0;0;0;0;0;0;0;0;5009;0;5009;jul-14;;185;22;1446;26;;535;686;646;;;373;;;;1065;;;;;;24;5009;0;5009
ago-14;7385;0;7385;4306;209881;ago-14;;0;108;116;263;344;644;459;177;660;1662;985;407;373;681;506;7385;0;7385;ago-14;;2730;1085;3;985;43;68;26;700;2;4;25;30;1336;26;54;9;23;6;38;89;6;80;3;14;0;7385;0;7385;ago-14;;71;1166;912;548;215;309;20;35;872;6;0;0;1532;644;21;731;48;5;3;15;211;21;0;0;0;0;0;0;0;0;0;0;7385;0;7385;ago-14;;270;29;2217;34;;713;977;975;;;553;;;;1567;;;;;;49;7385;0;7385
sep-14;9420;0;9420;3618;215683;sep-14;;0;124;138;326;457;771;536;223;804;2128;1310;546;534;942;581;9420;0;9420;sep-14;;3530;1718;7;1077;36;89;27;889;3;12;37;62;1537;44;33;17;45;2;59;104;6;78;0;8;0;9420;0;9420;sep-14;;100;1468;1204;602;332;313;36;45;1215;11;0;0;1854;871;25;955;87;2;0;15;244;40;1;0;0;0;0;0;0;0;0;0;9420;0;9420;sep-14;;291;31;2908;46;;965;1189;1238;;;747;;;;1961;;;;;;41;9420;0;9420
oct-14;9953;0;9953;5510;220126;oct-14;;0;139;158;329;447;824;585;276;855;2254;1372;532;530;1012;640;9953;0;9953;oct-14;;4316;1581;7;1172;38;92;26;869;2;9;32;62;1442;11;38;6;35;6;64;59;5;74;1;6;0;9953;0;9953;oct-14;;107;1685;1351;563;443;382;31;42;1281;13;0;0;1924;761;21;962;64;1;2;13;263;43;1;0;0;0;0;0;0;0;0;0;9953;0;9953;oct-14;;269;37;2851;60;;985;1339;1415;;;789;;;;2163;;;;;;41;9953;0;9953
nov-14;8425;0;8425;4766;223785;nov-14;;0;132;126;300;364;770;480;230;779;1932;1123;462;411;850;466;8425;0;8425;nov-14;;3835;1121;2;1006;35;100;19;721;1;6;28;49;1161;31;34;12;31;1;49;86;3;87;0;7;0;8425;0;8425;nov-14;;106;1297;1076;519;350;278;31;45;1167;10;0;0;1498;866;24;845;56;4;5;15;195;37;1;0;0;0;0;0;0;0;0;0;8425;0;8425;nov-14;;250;22;2515;35;;795;1215;1087;;;662;;;;1803;;;;;;40;8425;0;8425
dic-14;7945;1;7946;3369;228362;dic-14;;0;121;118;270;351;723;466;212;629;1874;1086;446;403;788;458;7945;1;7946;dic-14;;3860;1088;0;947;22;54;41;586;0;7;24;33;929;64;20;12;23;1;68;82;5;73;2;4;0;7945;1;7946;dic-14;;88;1154;1164;441;308;299;35;26;984;10;0;0;1552;787;20;746;68;1;2;14;192;51;3;0;0;0;0;0;0;0;0;0;7945;1;7946;dic-14;;236;25;2329;31;;795;1065;1060;;;675;;;;1702;;;;;;24;7945;1;7946
ene-15;112;0;112;1876;226598;ene-15;;0;1;3;7;5;5;6;1;12;24;18;4;5;15;6;112;0;112;ene-15;;25;19;0;9;0;1;7;15;0;0;0;4;26;2;0;0;1;1;1;0;0;1;0;0;0;112;0;112;ene-15;;1;8;12;4;11;3;0;0;7;0;0;0;18;34;0;3;5;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;112;0;112;ene-15;;7;1;39;0;;14;13;12;;;6;;;;20;;;;;;0;112;0;112
feb-15;9083;2;9085;2041;233642;feb-15;;0;138;129;351;397;751;526;216;766;2175;1199;479;459;968;529;9083;2;9085;feb-15;;4109;1151;1;1137;25;58;8;793;2;5;31;56;1379;25;14;6;26;3;51;121;3;75;1;3;0;9083;2;9085;feb-15;;78;1446;1223;589;285;306;33;38;1213;12;0;0;1723;874;16;942;53;0;2;21;180;46;2;0;0;0;0;0;0;0;1;0;9083;2;9085;feb-15;;247;30;2544;46;;919;1366;1162;;;683;;;;2034;;;;;;49;9083;2;9085
mar-15;10306;1;10307;2775;241174;mar-15;;0;126;136;379;444;876;574;305;904;2408;1392;609;585;1012;556;10306;1;10307;mar-15;;4264;1741;3;1292;32;106;31;656;1;10;36;62;1662;49;23;10;41;4;69;80;7;116;4;7;0;10306;1;10307;mar-15;;116;1566;1384;674;508;412;53;50;1251;16;0;0;1943;949;34;937;64;0;7;19;261;58;3;0;0;0;0;0;0;1;0;0;10306;1;10307;mar-15;;304;48;2988;46;;1102;1373;1367;;;777;;;;2252;;;;;;48;10306;1;10307
abr-15;10031;5;10036;2538;248672;abr-15;;0;152;138;315;458;873;562;265;907;2366;1370;501;480;1097;547;10031;5;10036;abr-15;;4044;1633;4;1196;41;93;40;969;0;11;33;49;1484;52;31;25;22;0;69;88;4;119;3;21;0;10031;5;10036;abr-15;;88;1557;1379;657;428;457;44;34;1170;7;0;0;1764;1074;25;931;82;2;8;22;241;57;4;0;0;0;0;0;0;0;0;0;10031;5;10036;abr-15;;332;37;2907;52;;1040;1359;1335;;;726;;;;2193;;;;;;43;10031;5;10036
may-15;9799;15;9814;4205;254281;may-15;;0;166;126;286;406;862;522;241;879;2354;1357;574;428;1045;553;9799;15;9814;may-15;;4512;1587;1;1071;31;83;16;693;1;14;29;49;1275;42;22;10;26;3;80;125;0;116;0;13;0;9799;15;9814;may-15;;84;1348;1418;642;387;391;50;54;1300;9;0;0;1635;1119;25;968;66;2;5;24;210;56;5;0;0;0;0;0;0;1;0;0;9799;15;9814;may-15;;290;43;2834;42;;1043;1388;1330;;;716;;;;2074;;;;;;39;9799;15;9814
jun-15;10605;22;10627;6167;258741;jun-15;;0;152;141;340;483;889;609;286;913;2384;1517;591;531;1171;598;10605;22;10627;jun-15;;4522;1721;6;1243;38;87;25;883;3;10;27;65;1496;37;27;16;36;1;84;152;8;107;1;10;0;10605;22;10627;jun-15;;116;1541;1512;613;479;472;45;34;1283;14;0;0;1950;1088;22;1084;69;0;4;19;202;51;7;0;0;0;0;0;0;0;0;0;10605;22;10627;jun-15;;307;47;3010;46;;1084;1524;1502;;;810;;;;2238;;;;;;36;10605;22;10627
jul-15;6691;21;6712;5260;260193;jul-15;;0;124;88;236;311;608;364;198;574;1516;917;412;326;670;347;6691;21;6712;jul-15;;3098;984;0;778;30;44;16;480;0;10;14;35;881;48;27;22;22;2;38;80;2;70;0;10;0;6691;21;6712;jul-15;;74;906;979;446;265;294;32;27;862;3;0;0;1077;845;10;606;45;2;6;15;143;45;9;0;0;0;0;0;0;0;0;0;6691;21;6712;jul-15;;198;22;1916;32;;721;1017;843;;;506;;;;1409;;;;;;26;6691;21;6712
ago-15;10331;35;10366;6287;264272;ago-15;;0;198;161;339;467;901;575;289;887;2373;1376;562;485;1090;628;10331;35;10366;ago-15;;4654;1489;3;1133;45;135;16;821;3;26;33;45;1458;19;30;33;50;7;64;140;2;115;1;9;0;10331;35;10366;ago-15;;107;1644;1550;688;476;539;41;42;798;14;0;0;1923;1002;34;1132;60;7;3;12;185;50;24;0;0;0;0;0;0;0;0;0;10331;35;10366;ago-15;;370;45;2778;54;;1057;1453;1414;;;835;;;;2295;;;;;;26;10331;35;10366
sep-15;10104;44;10148;5621;268799;sep-15;;0;164;171;376;440;879;572;289;928;2374;1396;546;482;906;581;10104;44;10148;sep-15;;4152;1766;0;1118;44;125;28;653;2;14;48;70;1553;44;34;22;49;2;78;130;9;143;2;18;0;10104;44;10148;sep-15;;129;1584;1289;777;455;495;43;44;986;11;0;0;1669;1095;31;1121;66;5;7;19;207;47;24;0;0;0;0;0;0;0;0;0;10104;44;10148;sep-15;;330;44;2854;45;;1036;1452;1336;;;776;;;;2197;;;;;;30;10104;44;10148
oct-15;10274;72;10346;5192;273953;oct-15;;0;157;140;331;458;920;562;260;851;2418;1428;537;492;1140;580;10274;72;10346;oct-15;;4414;1751;4;1010;42;109;27;930;2;21;32;66;1503;10;21;21;37;2;79;65;4;111;1;12;0;10274;72;10346;oct-15;;105;1437;1490;640;377;547;32;33;1082;21;0;0;1850;1131;32;1093;53;2;7;20;213;80;29;0;0;0;0;0;0;0;0;0;10274;72;10346;oct-15;;300;45;2939;53;;1066;1497;1316;;;790;;;;2237;;;;;;29;10274;72;10346
nov-15;9310;63;9373;5708;277618;nov-15;;0;157;121;314;399;791;538;235;835;2202;1239;514;425;1008;532;9310;63;9373;nov-15;;4092;1478;1;979;51;97;21;701;3;12;43;57;1386;28;27;19;34;9;46;112;5;104;2;3;0;9310;63;9373;nov-15;;105;1319;1508;633;375;481;32;41;1025;6;0;0;1532;936;40;953;36;4;4;27;168;56;28;0;0;0;0;0;1;0;0;0;9310;63;9373;nov-15;;302;36;2586;51;;948;1397;1218;;;684;;;;2056;;;;;;32;9310;63;9373
dic-15;8585;62;8647;4804;281461;dic-15;;0;148;114;307;395;709;432;214;726;1997;1155;558;393;1038;399;8585;62;8647;dic-15;;4130;1368;1;899;38;90;19;691;2;7;28;44;933;45;35;4;43;13;50;51;4;87;0;3;0;8585;62;8647;dic-15;;99;1160;1427;595;345;426;28;38;774;14;0;0;1588;938;33;840;32;8;6;30;123;41;39;0;0;0;0;0;0;1;0;0;8585;62;8647;dic-15;;268;35;2416;45;;852;1239;1138;;;668;;;;1908;;;;;;15;8585;62;8647
ene-16;49;0;49;3991;277519;ene-16;;0;2;0;1;1;5;0;0;8;17;7;1;2;2;3;49;0;49;ene-16;;6;10;0;2;0;0;2;4;0;0;1;2;21;0;0;0;0;0;0;0;0;0;0;0;1;49;0;49;ene-16;;2;8;5;5;5;1;1;0;5;0;0;0;0;6;1;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;0;49;ene-16;;0;0;21;0;;7;2;8;;;1;;;;9;;;;;;1;49;0;49
feb-16;10404;70;10474;3306;284687;feb-16;;0;160;151;317;474;831;552;288;905;2319;1428;577;554;1303;545;10404;70;10474;feb-16;;4881;1687;1;1109;52;104;18;738;1;12;34;48;1285;38;22;14;37;4;94;114;3;104;1;3;0;10404;70;10474;feb-16;;149;1400;1696;588;406;545;51;38;1050;13;0;0;1889;1070;42;1111;48;1;2;16;155;74;54;0;0;0;0;0;0;0;6;0;10404;70;10474;feb-16;;321;41;2991;56;;1044;1445;1391;;;768;;;;2314;;;;;;33;10404;70;10474
mar-16;11432;103;11535;5669;290553;mar-16;;0;170;158;396;544;1030;619;335;982;2611;1470;652;581;1305;579;11432;103;11535;mar-16;;4795;1960;4;1221;66;142;31;796;1;9;33;66;1762;63;25;32;46;2;64;152;4;145;3;10;0;11432;103;11535;mar-16;;113;1731;1769;724;432;705;66;33;1120;13;0;0;2011;1107;45;1137;51;7;4;35;190;63;74;0;0;0;0;0;1;0;1;0;11432;103;11535;mar-16;;351;51;3288;60;;1173;1634;1491;;;835;;;;2501;;;;;;44;11432;103;11535
abr-16;10981;117;11098;4459;297192;abr-16;;0;163;125;373;512;984;622;287;1048;2463;1506;600;544;1187;567;10981;117;11098;abr-16;;4799;1732;4;1186;64;122;31;829;0;14;29;57;1575;43;35;19;56;5;65;149;3;153;2;9;0;10981;117;11098;abr-16;;100;1553;1710;663;465;541;64;27;1464;17;0;0;1894;1044;33;992;55;4;8;27;165;77;73;0;0;0;0;0;1;0;4;0;10981;117;11098;abr-16;;352;53;3052;56;;1167;1596;1534;;;765;;;;2369;;;;;;37;10981;117;11098
may-16;10181;125;10306;4544;302954;may-16;;0;165;153;356;472;878;555;259;878;2324;1445;482;482;1187;545;10181;125;10306;may-16;;4919;1149;4;944;42;123;27;845;0;21;28;44;1511;54;28;23;57;7;122;84;6;129;1;12;1;10181;125;10306;may-16;;92;1421;1608;688;391;528;41;37;1308;13;0;0;1681;982;39;926;57;5;8;21;187;63;83;0;0;0;0;0;0;0;2;0;10181;125;10306;may-16;;323;67;2853;38;;1052;1433;1340;;;730;;;;2314;;;;;;30;10181;125;10306
jun-16;10375;113;10488;8999;304443;jun-16;;0;195;135;374;501;898;645;265;909;2323;1353;611;435;1203;528;10375;113;10488;jun-16;;4781;1620;6;1027;28;96;25;810;5;20;40;77;1343;82;19;21;47;1;62;117;5;122;2;17;2;10375;113;10488;jun-16;;94;1347;1646;599;420;641;49;37;1411;11;0;0;1619;1011;52;1004;32;3;8;21;185;66;113;0;0;0;0;0;0;1;5;0;10375;113;10488;jun-16;;336;44;2871;70;;1096;1537;1341;;;759;;;;2292;;;;;;29;10375;113;10488
jul-16;6228;85;6313;4586;306170;jul-16;;0;88;85;210;342;567;399;155;521;1374;753;404;285;697;348;6228;85;6313;jul-16;;2954;1058;1;670;13;46;33;400;0;16;15;24;775;12;11;10;21;1;43;45;3;57;0;20;0;6228;85;6313;jul-16;;62;771;996;400;215;397;20;19;831;6;0;0;1166;568;21;480;8;0;22;21;106;34;82;0;0;0;0;0;0;0;3;0;6228;85;6313;jul-16;;190;27;1776;43;;686;910;773;;;449;;;;1348;;;;;;25;6228;85;6313
