Periodo;Juicios iniciados por personas trabajadoras en unidades productivas, notificados en el mes de referencia (1);Juicios iniciados por personas trabajadoras en casas particulares, notificados en el mes de referencia (2);Total de juicios notificados en el mes de referencia (3);Sentencias dictadas en el mes de referencia (4);Stock acumulado de juicios sin resolver (5);;Unidades Productivas ;Sin personas trabajadoras declaradas;1;2;3-may;6-oct;nov-25;26-40;41-50 ;51-100;101-500;501-1500 ;1501-2500;2501-5000 ;Mas de 5000;Sin datos;Total unidades productivas;Total casas particulares;Total sistema;;Unidades Productivas ;C.A.B.A.;Buenos Aires;Catamarca;Córdoba;Corrientes;Entre Ríos;Jujuy;Mendoza;La Rioja;Salta;San Juan;San Luis;Santa Fe;Sgo. del Estero;Tucumán;Chaco;Chubut;Formosa;Misiones;Neuquén;La Pampa;Río Negro;Santa Cruz;Tierra del Fuego;Sin datos;Total unidades productivas;Total casas particulares;Total sistema;;Unidades Productivas ;Berkley ART;Prevención;Provincia;La Segunda;Interacción;Fed. Patronal;Prod. de Frutas;La Holando;Experta ART.;Victoria;La Meridional;MAPFRE;Galeno;Swiss Medical;Inst. Autarq. E.R.;Asociart;Horizonte;Caja Popular;Latitud Sur;Reconquista;Liderar ART;Caminos Protegidos;Omint;Mutual Petroleros;Mutual Rural;Andina ART;Exxonmobil;Shell;Coop. Port. San Martin;Sgo. del Estero;Municip. Rosario;Autoaseg. Pcia. de Buenos Aires;Total unidades productivas**;Total casas particulares;Total sistema;;Unidades productivas ;Agricultura, ganaderia, caza, silvicultura y pesca;Explotacion de minas y canteras;Industria manufacturera;Suministro de electricidad, gas, vapor y aire acondicionado;Suministro de agua, cloacas, gestion de residuos y recuperacion de materiales y saneamiento publico;Construccion;"Comercio al por mayor y al por menor; reparacion de vehiculos automotores y motocicletas";Servicio de transporte y almacenamiento;Servicios de alojamiento y servicios de comida;Informacion y comunicaciones;Intermediacion financiera y servicios de seguros;Servicios inmobiliarios;Servicios profesionales, cientificos y tecnicos;Actividades administrativas y servicios de apoyo;Administracion publica, defensa y seguridad social obligatoria;Enseñanza;Salud humana y servicios sociales;Servicios artisticos, culturales, deportivos y de esparcimiento;Servicios de asociaciones y servicios personales;Servicios de organizaciones y organos extraterritoriales;Sin datos;Total unidades productivas ;Total casas particulares ;Total sistema
nov-10;4872;0;4872;548;46241;nov-10;;0;95;66;182;196;425;223;145;390;1048;743;244;373;404;338;4872;0;4872;nov-10;;1535;774;0;766;12;50;10;370;2;10;24;32;1005;40;80;12;21;2;27;53;7;37;2;1;0;4872;0;4872;nov-10;;54;878;311;426;171;158;4;52;813;5;0;0;1102;377;12;385;54;10;2;13;6;0;0;0;0;0;0;0;0;0;0;39;4872;0;4872;nov-10;;173;42;1556;28;;486;574;539;;;364;;;;1052;;;;;;51;4872;0;4872
dic-10;4127;0;4127;698;49670;dic-10;;0;109;62;143;171;341;245;96;343;904;540;205;305;383;280;4127;0;4127;dic-10;;1303;684;2;596;15;23;13;461;1;3;16;27;756;23;78;6;14;1;29;37;3;34;1;0;1;4127;0;4127;dic-10;;51;779;254;405;132;109;4;39;788;7;0;0;818;295;7;358;37;3;3;11;6;0;0;0;0;0;0;0;0;0;0;21;4127;0;4127;dic-10;;128;23;1322;27;;446;478;468;;;271;;;;927;;;;;;31;4127;0;4127
ene-11;288;0;288;509;49449;ene-11;;0;8;1;5;13;19;8;8;22;59;46;18;26;34;21;288;0;288;ene-11;;37;63;0;46;1;0;0;73;0;1;0;7;46;0;0;1;2;1;2;3;0;5;0;0;0;288;0;288;ene-11;;0;10;2;54;8;3;0;1;8;0;0;0;180;14;0;2;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;288;0;288;ene-11;;18;1;93;0;;16;28;36;;;33;;;;61;;;;;;1;288;0;288
feb-11;5240;0;5240;745;53944;feb-11;;0;319;75;159;201;430;281;131;395;1069;699;245;332;532;372;5240;0;5240;feb-11;;1525;770;3;1073;11;26;9;573;4;5;12;30;959;12;47;12;16;3;14;83;7;40;2;1;3;5240;0;5240;feb-11;;69;950;284;490;171;103;3;60;820;4;0;0;1373;404;8;380;59;1;2;5;16;0;0;0;0;0;0;0;0;0;0;38;5240;0;5240;feb-11;;172;29;1516;22;;515;614;595;;;375;;;;1352;;;;;;35;5240;0;5240
mar-11;5108;0;5108;646;58406;mar-11;;0;174;73;171;237;388;267;121;396;1065;724;315;302;487;388;5108;0;5108;mar-11;;1478;889;2;901;16;64;9;458;2;15;14;32;944;39;48;13;23;2;32;78;3;41;3;1;1;5108;0;5108;mar-11;;59;1125;403;477;147;135;1;43;846;6;0;0;1022;370;10;345;51;7;4;10;17;0;0;0;0;0;0;0;0;0;0;30;5108;0;5108;mar-11;;130;25;1518;31;;600;597;580;;;380;;;;1202;;;;;;35;5108;0;5108
abr-11;5208;0;5208;1120;62494;abr-11;;0;149;67;162;233;412;247;150;478;1170;689;226;337;459;429;5208;0;5208;abr-11;;1675;669;3;931;10;26;8;462;1;8;19;48;1064;14;60;12;30;3;30;69;3;60;2;1;0;5208;0;5208;abr-11;;69;995;349;497;175;97;3;47;810;4;0;0;1302;392;15;333;51;3;1;14;20;0;0;0;0;0;0;0;0;0;0;31;5208;0;5208;abr-11;;153;27;1620;21;;543;657;623;;;418;;;;1081;;;;;;51;5208;0;5208
may-11;5562;0;5562;1005;67051;may-11;;0;146;84;197;216;483;276;135;504;1154;770;284;362;570;381;5562;0;5562;may-11;;1711;796;6;943;11;43;13;604;1;5;16;55;1104;27;32;18;17;1;39;63;6;48;1;1;1;5562;0;5562;may-11;;61;1099;341;565;153;162;4;38;867;7;0;0;1209;417;9;446;71;3;3;33;31;0;0;0;0;0;0;0;0;1;0;42;5562;0;5562;may-11;;165;24;1661;24;;611;690;589;;;416;;;;1309;;;;;;52;5562;0;5562
jun-11;5478;0;5478;1198;71331;jun-11;;0;111;68;187;222;474;296;142;478;1236;705;326;342;539;352;5478;0;5478;jun-11;;1501;1078;0;709;10;58;13;398;2;6;28;54;1382;3;39;9;24;2;53;52;4;49;2;2;0;5478;0;5478;jun-11;;50;1184;445;606;127;172;1;53;893;7;0;0;974;386;14;404;74;4;1;5;39;0;0;0;0;0;0;0;0;0;0;39;5478;0;5478;jun-11;;177;18;1730;19;;659;693;591;;;361;;;;1149;;;;;;51;5478;0;5478
jul-11;3312;0;3312;1032;73611;jul-11;;0;33;39;97;167;272;156;91;314;749;457;162;214;296;265;3312;0;3312;jul-11;;1089;600;6;546;20;24;5;218;0;5;10;32;589;11;20;23;16;1;23;43;8;18;1;2;2;3312;0;3312;jul-11;;56;594;207;273;110;109;2;31;492;6;0;0;865;262;6;208;43;1;1;8;17;0;0;0;0;0;0;0;0;0;0;21;3312;0;3312;jul-11;;124;11;1038;16;;369;411;370;;;275;;;;654;;;;;;39;3312;0;3312
ago-11;6705;0;6705;1717;78599;ago-11;;0;95;100;215;298;598;374;158;587;1454;883;299;500;610;534;6705;0;6705;ago-11;;2100;1095;4;911;11;59;13;631;9;10;20;37;1514;14;53;18;22;3;44;52;8;71;0;0;6;6705;0;6705;ago-11;;89;1423;484;590;173;160;5;60;1092;6;0;0;1357;529;14;503;93;0;3;10;66;0;0;0;0;0;0;0;0;0;0;48;6705;0;6705;ago-11;;212;33;2078;32;;774;869;691;;;524;;;;1431;;;;;;45;6705;0;6705
